Name,Address,Phone,State,ProfileURL,Website,ID
Dr Pamela Craig Dental Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-pamela-craig-dental-surgery/A14012632,,A14012632
Collins Street Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/collins-street-dental/A11003159,,A11003159
JA Vochala Dental Rooms,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/ja-vochala-dental-rooms/A17014544,,A17014544
City Dental Care,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/city-dental-care/A24019465,,A24019465
Dr Stella Lee - Orthodontist,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-stella-lee---orthodontist/A11003186,,A11003186
Periodontists,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/periodontists/A11003475,,A11003475
QV Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/qv-dental/A11006098,,A11006098
Manchester Unity Dental Centre,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/manchester-unity-dental-centre/A11003179,,A11003179
Stellar Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/stellar-dental/A11003144,,A11003144
Oral and Maxillofacial Surgeon,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-and-maxillofacial-surgeon/A11006111,,A11006111
Teeth Health Life,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/teeth-health-life/A11003139,,A11003139
Metro Dental Melbourne,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/metro-dental-melbourne/A18014881,,A18014881
Holistic Dental Melbourne CBD,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/holistic-dental-melbourne-cbd/A11006093,,A11006093
Dr Cross and Thavarajah Dental Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-cross-and-thavarajah-dental-surgery/A11003169,,A11003169
Dr Nicholas Palfreyman Prosthodontist,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-nicholas-palfreyman-prosthodontist/A21016616,,A21016616
Dr Waleed Saleh Dental Surgeon,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-waleed-saleh-dental-surgeon/A11003098,,A11003098
Melbourne Dental Group,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-dental-group/A11003157,,A11003157
d-spa,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/d-spa/A13011566,,A13011566
Dr Luk Dental Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-luk-dental-surgery/A11003134,,A11003134
Dr Paulo Pinho,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-paulo-pinho/A11006533,,A11006533
The Melbourne Pain Management Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/the-melbourne-pain-management-clinic/A11000247,,A11000247
Kurrajong Dentists,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/kurrajong-dentists/A11003119,,A11003119
Dr Sara Byrne - Periodontist,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-sara-byrne---periodontist/A11003124,,A11003124
Ladakis Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/ladakis-dental/A11003147,,A11003147
d-spa,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/d-spa/A11000479,,A11000479
Parkview Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/parkview-dental/A14011905,,A14011905
Endodontists on Collins,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/endodontists-on-collins/A11002915,,A11002915
OralMax Surgeons,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/oralmax-surgeons/A16013893,,A16013893
Dr Richard Robinson Dental Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-richard-robinson-dental-surgery/A14012013,,A14012013
Oral and Maxillofacial Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-and-maxillofacial-surgery/A11003110,,A11003110
Birdseye Dental Group,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/birdseye-dental-group/A11006096,,A11006096
Dr Robin Joseph - Dentist,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-robin-joseph---dentist/A11003167,,A11003167
Dimos Dental & Facial Aesthetics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dimos-dental-and-facial-aesthetics/A11005506,,A11005506
NIB Melbourne Dental Care Centre,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/nib-melbourne-dental-care-centre/A11002588,,A11002588
Excellence in Dentistry,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/excellence-in-dentistry/A11003160,,A11003160
City Smiles,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/city-smiles/A11005508,,A11005508
Dr MK Choy Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-mk-choy-dental/A11003187,,A11003187
L&L Orthodontics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/l-and-l-orthodontics/A11006491,,A11006491
Alcaston Dental Care,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/alcaston-dental-care/A11006112,,A11006112
Dr Christopher Murray Dental Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-christopher-murray-dental-surgery/A11003117,,A11003117
Peter Allan - Oral and Maxillofacial Surgeon,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/peter-allan---oral-and-maxillofacial-surgeon/A11001213,,A11001213
Collins St Dental Aesthetics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/collins-st-dental-aesthetics/A11003122,,A11003122
Dr Chris Hart Prosthodontist,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-chris-hart-prosthodontist/A11003436,,A11003436
Dentist James Peter,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dentist-james-peter/A11003108,,A11003108
Prosthodontic Associates,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/prosthodontic-associates/A11001286,,A11001286
Collins Dental Image,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/collins-dental-image/A11000232,,A11000232
Michael Hase Oral and Maxillofacial Surgeon,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/michael-hase-oral-and-maxillofacial-surgeon/A11006102,,A11006102
SleepWise Melbourne Sleep Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/sleepwise-melbourne-sleep-clinic/A12010613,,A12010613
HCF Melbourne Dental Centre,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/hcf-melbourne-dental-centre/A20016169,,A20016169
Maven Dental Collins Street,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/maven-dental-collins-street/A11000638,,A11000638
Bupa Dental - Bourke Street,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/bupa-dental---bourke-street/A16013925,,A16013925
Melbourne Periodontal Group,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-periodontal-group/A11003120,,A11003120
White Light Prosthodontics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/white-light-prosthodontics/A18014815,,A18014815
Balyang Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/newtown/balyang-dental/A25020042,,A25020042
Happy Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong-west/happy-dental/A11010348,,A11010348
Highton Dental Centre,,,VIC,https://www.dentist.com.au/dentist-detail/vic/highton/highton-dental-centre/A19015798,,A19015798
Dentists & Doctors,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/dentists-and-doctors/A19015603,,A19015603
All Smiles Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/all-smiles-dental/A14012776,,A14012776
Ailin Teo Dental Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/ailin-teo-dental-surgery/A11002778,,A11002778
Totally Smiles Geelong,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/totally-smiles-geelong/A11003600,,A11003600
Geelong Oral and Maxillofacial Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/geelong-oral-and-maxillofacial-surgery/A11005957,,A11005957
Kardinia Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/kardinia-dental/A11003597,,A11003597
